customer_id,first_name,last_name,birth_date,gender,city,segment,created_at,country
100000,Karlis,Upenieks,1991-11-04,M,Ventspils,Retail,2020-07-01,LV
100001,Kristaps,Kalnina,1954-01-24,F,Liepaja,Retail,2020-05-18,LV
100002,Anna,Kalnina,2000-05-08,M,Riga,Retail,2017-07-27,LV
100003,Elina,Abele,1960-04-05,F,Ventspils,Retail,2022-06-25,LV
100004,Ilze,Ezerina,1963-12-04,F,Jurmala,Retail,2016-02-29,LV
100005,Roberts,Kalejs,1942-11-24,F,Liepaja,SME,2022-12-23,LV
100006,Maija,Berzins,1961-09-03,F,Ventspils,Retail,2022-07-10,LV
100007,Kristaps,Kalejs,1992-10-14,F,Jelgava,Retail,2020-02-25,LV
100008,Anna,Kalejs,1941-01-01,F,Valmiera,Retail,2019-09-03,LV
100009,Janis,Krastins,1969-02-07,F,Ventspils,Retail,2025-01-22,LV
100010,Elina,Kalejs,1977-04-17,M,Ogre,Retail,2015-12-16,LV
100011,Maija,Kreicbergs,1941-10-01,M,Cesis,SME,2020-12-26,LV
100012,Kristaps,Krastins,2003-09-07,M,Jelgava,SME,2023-08-19,LV
100013,Ilze,Ezerina,1999-12-21,F,Riga,Retail,2016-04-06,LV
100014,Liga,Kalejs,1960-12-18,F,Riga,SME,2020-04-12,LV
100015,Dace,Sproge,1972-07-08,F,Riga,Corporate,2022-11-09,LV
100016,Elina,Jansons,1997-08-19,F,Riga,Retail,2022-09-09,LV
100017,Ilze,Kalnina,1961-05-26,F,Cesis,Retail,2015-08-22,LV
100018,Kristaps,Krastins,1988-01-25,F,Ventspils,Retail,2015-12-20,LV
100019,Elina,Abele,1998-03-23,F,Daugavpils,Retail,2021-04-10,LV
100020,Karlis,Lacis,1981-07-11,M,Ventspils,Retail,2019-11-19,LV
100021,Maija,Jansons,1999-05-05,F,Jurmala,Retail,2016-04-21,LV
100022,Rihards,Abele,1954-04-25,M,Valmiera,Corporate,2016-07-15,LV
100023,Kristaps,Ozolins,2001-06-04,M,Liepaja,Retail,2025-06-18,LV
100024,Karlis,Abele,2001-02-13,F,Daugavpils,Retail,2025-02-08,LV
100025,Aleksandrs,Kalnina,1986-02-12,F,Daugavpils,Retail,2023-08-17,LV
100026,Anna,Kalnina,2001-06-20,M,Ventspils,SME,2021-07-17,LV
100027,Liga,Krastins,1990-05-26,M,Daugavpils,Corporate,2022-11-15,LV
100028,Andris,Kalejs,1994-01-24,F,Jurmala,Retail,2024-11-15,LV
100029,Maija,Eglitis,2003-08-18,F,Liepaja,Retail,2024-06-06,LV
100030,Elina,Ozolins,1942-02-13,M,Ogre,Retail,2015-09-12,LV
100031,Dace,Krastins,1990-02-18,F,Cesis,Retail,2022-08-26,LV
